X,Y,Z
4.39392,-2.2863,1.98804
4.3831,-2.31495,1.98951
4.34258,-2.32774,1.97775
4.33557,-2.35834,1.98105
4.31206,-2.37995,1.97701
4.26898,-2.39046,1.96414
4.22675,-2.40098,1.95164
4.20227,-2.4213,1.94723
4.19616,-2.4522,1.95128
4.07865,-2.41719,1.90422
4.09243,-2.45942,1.91745
4.04868,-2.46706,1.90422
3.58574,-2.21509,1.69614
3.66034,-2.29236,1.73731
3.91545,-2.48581,1.86341
3.97049,-2.5551,1.8965
3.89633,-2.5413,1.86893
3.86438,-2.55438,1.8612
4.05455,-2.82557,1.98363
4.16551,-2.94108,2.04576
2.94023,-2.13009,1.46526
2.93085,-2.15084,1.4671
2.90268,-2.15768,1.45974
3.56003,-2.74985,1.80826
2.90377,-2.27126,1.48732
3.22794,-2.55707,1.6579
2.83725,-2.27587,1.46783
2.85209,-2.31669,1.48254
2.8529,-2.34656,1.49026
2.94188,-2.48095,1.55129
3.02163,-2.61239,1.60901
3.00484,-2.63027,1.60864
2.82096,-2.49996,1.52004
2.75021,-2.46752,1.49063
2.73708,-2.48622,1.49173
2.72656,-2.50738,1.4943
2.70977,-2.52279,1.49357
2.73077,-2.57383,1.51342
2.92231,-2.82302,1.63621
2.94282,-2.87797,1.65717
2.96475,-2.93524,1.67922
3.0268,-3.03371,1.72408
3.22675,-3.27418,1.84723
2.74485,-2.81935,1.58548
2.81256,-2.92464,1.634
2.84194,-2.99175,1.66121
2.84134,-3.02813,1.6715
2.90107,-3.1301,1.71709
2.84038,-3.10256,1.69283
2.97406,-3.28897,1.7829
2.92162,-3.27108,1.76378
2.88612,-3.27151,1.75459
2.89164,-3.31861,1.77003
2.81786,-3.27425,1.73768
2.71824,-3.19792,1.68915
2.65732,-3.16538,1.66378
2.65921,-3.2074,1.67702
2.59001,-3.1632,1.64614
2.58516,-3.19712,1.65533
2.52025,-3.15622,1.62665
2.68963,-3.41121,1.74724
2.70366,-3.51697,1.78363
